64.22285714285714
Coverage:61.0| Fitness: 60.25333333333333
Coverage: 65.0 | Fitness: 63.95777777777777
-----------------------------------
Coverage: 63.0 | Fitness: 62.00666666666667Time passed: 264.76437854766846
-----------------------------------
Coverage: 53.0 | Fitness: 51.82857142857143 | Avarage acceptance for each iteration: 0.0 | Time passed: 50.209938287734985
Coverage: 57.0 | Fitness: 54.70925925925926 | Avarage acceptance for each iteration: 0.0 | Time passed: 62.58417296409607
Coverage: 50.0 | Fitness: 48.15952380952381 | Avarage acceptance for each iteration: 0.0 | Time passed: 68.44774341583252
Coverage: 47.0 | Fitness: 44.71666666666667 | Avarage acceptance for each iteration: 0.0 | Time passed: 59.82831144332886
Coverage: 54.0 | Fitness: 51.88703703703704 | Avarage acceptance for each iteration: 0.0 | Time passed: 61.517369985580444
Coverage: 39.0 | Fitness: 38.24444444444445 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 11.76130199432373
Coverage: 43.0 | Fitness: 41.41282051282052 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 12.34895658493042
Coverage: 63.0 | Fitness: 61.271794871794874 | Avarage acceptance for each iteration: 0.0 | Time passed: 53.97771668434143
-----------------------------------------------------
Coverage: 50.0 | Fitness: 49.21333333333333 | Avarage acceptance for each iteration: 0.9473684210526315 | Time passed: 14.930289506912231
Coverage: 54.0 | Fitness: 52.43055555555555 | Avarage acceptance for each iteration: 0.5588235294117647 | Time passed: 16.45090389251709
Coverage: 58.0 | Fitness: 56.24761904761905 | Avarage acceptance for each iteration: 0.6666666666666666 | Time passed: 14.94940185546875
Coverage: 52.0 | Fitness: 50.62121212121212 | Avarage acceptance for each iteration: 0.5384615384615384 | Time passed: 13.384031772613525
Coverage: 44.0 | Fitness: 43.208333333333336 | Avarage acceptance for each iteration: 0.13333333333333333 | Time passed: 13.004680633544922
Coverage: 45.0 | Fitness: 43.333333333333336 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 12.395116090774536
Coverage: 57.0 | Fitness: 55.117777777777775 | Avarage acceptance for each iteration: 0.9444444444444444 | Time passed: 17.721479177474976
Coverage: 44.0 | Fitness: 43.522222222222226 | Avarage acceptance for each iteration: 0.8986215538847118 | Time passed: 14.61194920539856
Coverage: 57.0 | Fitness: 54.53666666666667 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 13.025764226913452
Coverage: 39.0 | Fitness: 38.422222222222224 | Avarage acceptance for each iteration: 0.6600000000000003 | Time passed: 15.22645878791809
Coverage: 49.0 | Fitness: 47.043749999999996 | Avarage acceptance for each iteration: 0.5375496031746031 | Time passed: 20.85214400291443
Coverage: 58.0 | Fitness: 57.02777777777778 | Avarage acceptance for each iteration: 0.8636363636363636 | Time passed: 17.742278814315796
Coverage: 31.0 | Fitness: 30.46666666666667 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 11.186914443969727
Coverage: 55.0 | Fitness: 54.333333333333336 | Avarage acceptance for each iteration: 0.6474426807760141 | Time passed: 17.99050498008728
Coverage: 59.0 | Fitness: 57.858333333333334 | Avarage acceptance for each iteration: 0.7249999999999999 | Time passed: 14.90529727935791
Coverage: 57.0 | Fitness: 55.15238095238095 | Avarage acceptance for each iteration: 0.22261904761904763 | Time passed: 15.512742280960083
Coverage: 45.0 | Fitness: 42.87592592592593 | Avarage acceptance for each iteration: 0.640151515151515 | Time passed: 20.473353624343872
Coverage: 46.0 | Fitness: 44.18333333333334 | Avarage acceptance for each iteration: 0.3666666666666666 | Time passed: 19.254225254058838
Coverage: 55.0 | Fitness: 52.641666666666666 | Avarage acceptance for each iteration: no worse solution was proposed | Time passed: 12.714340448379517
Coverage: 53.0 | Fitness: 52.038888888888884 | Avarage acceptance for each iteration: 0.0 | Time passed: 18.03485083580017
Coverage: 54.0 | Fitness: 52.00416666666666 | Avarage acceptance for each iteration: 0.0 | Time passed: 40.52623248100281

Coverage: 46.0 | Fitness: 44.57878787878788 | Avarage acceptance for each iteration: 0.13636363636363635 | Time passed: 19.62551736831665
Coverage: 51.0 | Fitness: 49.875 | Avarage acceptance for each iteration: 0.3134920634920635 | Time passed: 17.124487161636353
